metric,method,field,lead_days,finite_members,mean,p10,p90
rmse,selected,phihyd_surface,400,15,0.0447387694109028,0.04053899155840634,0.04821145776655347
rmse,selected,phihyd_surface,410,15,0.04666270961717747,0.042172486359141656,0.050290133256068875
rmse,selected,phihyd_surface,420,15,0.048633055226401385,0.04383243002838333,0.05243087583907629
rmse,selected,phihyd_surface,430,15,0.050629375354318544,0.04548252723988731,0.05460529205972975
rmse,selected,phihyd_surface,440,15,0.05265594089282966,0.047156880837366494,0.056770969965634015
rmse,selected,phihyd_surface,450,15,0.054725998310660745,0.0488297183408626,0.05902294554846463
rmse,selected,phihyd_surface,460,15,0.05687773852064214,0.050573239649785155,0.06140377532625328
rmse,selected,phihyd_surface,470,15,0.059051869273712386,0.05235219582405405,0.0637941295962457
rmse,selected,phihyd_surface,480,15,0.06122376051246513,0.05417545798412464,0.06599770815318878
rmse,selected,phihyd_surface,490,15,0.06342262588489563,0.05597864166505914,0.06836836928573953
rmse,selected,phihyd_surface,500,15,0.06565626798936748,0.05789239239376655,0.07097640723753784
rmse,selected,phihyd_surface,510,15,0.06793403613443316,0.059918514450900254,0.0734569132941534
rmse,selected,phihyd_surface,520,15,0.07026166871097887,0.06199216207994188,0.07592838081928308
rmse,selected,phihyd_surface,530,15,0.07264849622322411,0.0640921189657737,0.07841800906276168
rmse,selected,phihyd_surface,540,15,0.07505123782669101,0.06619014891813262,0.08102643481555352
rmse,selected,phihyd_surface,550,15,0.07745573499565166,0.06826200336788657,0.08379313895942746
rmse,selected,phihyd_surface,560,15,0.0799375185023284,0.07046342577082054,0.0864895230320194
rmse,selected,phihyd_surface,570,15,0.08248327054374682,0.07269274500517157,0.0891371276823158
rmse,selected,phihyd_surface,580,15,0.08506308576082423,0.0748661270077004,0.09209419646532775
rmse,selected,phihyd_surface,590,15,0.0877005205058319,0.0771254739311356,0.09495441260728782
rmse,selected,phihyd_surface,600,15,0.09037592369765625,0.07935225834369217,0.09789316175566001
rmse,selected,phihyd_surface,610,15,0.09307142309830468,0.08156631791715398,0.10099927082599933
rmse,selected,phihyd_surface,620,15,0.09578454795643632,0.0839016596516827,0.10401711011116108
rmse,selected,phihyd_surface,630,15,0.09866749975340576,0.08617146359822168,0.10707212739776888
rmse,selected,phihyd_surface,640,15,0.10156881058611515,0.08858108740845677,0.11010458359743268
rmse,selected,phihyd_surface,650,15,0.1045174214939428,0.09115765109963679,0.11330172983231532
rmse,selected,phihyd_surface,660,15,0.10742478151858467,0.0936324959540766,0.1162518376242815
rmse,selected,phihyd_surface,670,15,0.11040386222404465,0.09619542483897496,0.11963330215956171
rmse,selected,phihyd_surface,680,15,0.11344891386096395,0.09888649052281308,0.12283944331951742
rmse,selected,phihyd_surface,690,15,0.11659016661850097,0.10171140564755235,0.12624590756907894
rmse,selected,phihyd_surface,700,15,0.11977775106838992,0.10458279281882332,0.12980720222343842
rmse,selected,phihyd_surface,710,15,0.1229285517744596,0.10710964542812834,0.1331981080812805
rmse,selected,phihyd_surface,720,15,0.12612070372634437,0.10987699926548533,0.13697002178996665
rmse,selected,phihyd_surface,730,15,0.12936517055888117,0.11287032054326493,0.14048131843107534
rmse,selected,phihyd_surface,740,15,0.132696887229706,0.11601859675278173,0.14386027295910173
rmse,selected,phihyd_surface,750,15,0.1361074745661601,0.11895010055488411,0.14734857592419398
rmse,selected,phihyd_surface,760,15,0.13961661366802694,0.12195218087931319,0.151049006557243
rmse,selected,phihyd_surface,770,15,0.14314456360929978,0.12507164394299267,0.15480524133285314
rmse,selected,phihyd_surface,780,15,0.14668929757806373,0.12801282930544125,0.15867886817477578
rmse,selected,phihyd_surface,790,15,0.15037459827121202,0.1313635014018366,0.16261468192198353
rmse,selected,phihyd_surface,800,15,0.1542479839988,0.1348153133905729,0.16665066086905322
rmse,selected,phihyd_surface,810,15,0.15818308428289743,0.13830207746780576,0.17081783170834985
rmse,selected,phihyd_surface,820,15,0.1621806961886345,0.1422203900446635,0.17490726099828685
rmse,selected,phihyd_surface,830,15,0.1662610390103901,0.14613364171995125,0.17912437001333475
rmse,selected,phihyd_surface,840,15,0.1703764776721292,0.14998669257842112,0.18307567341609918
rmse,selected,phihyd_surface,850,15,0.17461908062442003,0.15419005708182268,0.18729674078454778
rmse,selected,phihyd_surface,860,15,0.17901635270365407,0.15854667208551054,0.19174603811622162
rmse,selected,phihyd_surface,870,15,0.1834762297372213,0.1626228842014542,0.19617166518311607
rmse,selected,phihyd_surface,880,15,0.18795023172181916,0.16662284813002798,0.20048173954781642
rmse,selected,phihyd_surface,890,15,0.19250755453632415,0.17125457245707998,0.2049908668142454
rmse,selected,phihyd_surface,900,15,0.19719724535958497,0.17588203849731363,0.20940303087593776
rmse,selected,phihyd_surface,910,15,0.20197760319687677,0.1807289724665435,0.21382790193744522
rmse,selected,phihyd_surface,920,15,0.20684684171578446,0.1858158833993231,0.21865142005399754
rmse,selected,phihyd_surface,930,15,0.21187338609517478,0.19085100559591817,0.22363221855218007
rmse,selected,phihyd_surface,940,15,0.21697380269666844,0.19618105476770833,0.2285844194232363
rmse,selected,phihyd_surface,950,15,0.22212889128890914,0.20157438681019185,0.23372977901146322
rmse,selected,phihyd_surface,960,15,0.22747762801633922,0.20684525930762415,0.23908440946790613
rmse,selected,phihyd_surface,970,15,0.23308840941894565,0.21230380424660097,0.2445846844237475
rmse,selected,phihyd_surface,980,15,0.2387405579141112,0.21806677034957692,0.2506219385392536
rmse,selected,phihyd_surface,990,15,0.24446290144157476,0.22361204979503232,0.25679690157533896
rmse,selected,phihyd_surface,1000,15,0.2503424885569685,0.2290327638340187,0.26323460748158994
rmse,selected,phihyd_surface,1010,15,0.2563451203915159,0.23465615325662126,0.26991316758411293
rmse,selected,phihyd_surface,1020,15,0.26251408650509933,0.24035442993515252,0.2770187956365007
rmse,selected,phihyd_surface,1030,15,0.26886749222098205,0.24603188515913865,0.284598573181962
rmse,selected,phihyd_surface,1040,15,0.2753041966163427,0.2517094969041292,0.29231401327552153
