phase,arm,field,lead_days,mean_rmse,p10,p90
training,0.0,sst,360,0.03563509686415179,0.02608401808789786,0.04532066689523987
training,0.0,sst,370,0.03762614060856676,0.02704024244903117,0.04829268535105667
training,0.0,sst,380,0.03970162853947349,0.02801687826686104,0.05149916551059262
training,0.0,sst,390,0.04188037293884474,0.029197028131796213,0.05493701482536596
training,0.0,sst,400,0.04419868740581161,0.030654037998024415,0.0581834946988478
training,0.0,sst,410,0.0466299598281252,0.03228150485936811,0.061108330294011096
training,0.0,sst,420,0.048987888496962215,0.03365993675150073,0.06432395867557558
training,0.0,sst,430,0.051518225443640056,0.03453842737088866,0.06807602239942916
training,0.0,sst,440,0.05406050426033332,0.03583973472002851,0.07185185823495893
training,0.0,sst,450,0.056597606864857895,0.037875874256659066,0.07573602370173
training,0.0,sst,460,0.05933025828763698,0.040070454757468454,0.08016058879107667
training,0.0,sst,470,0.06217348673186694,0.04208847292649513,0.08462821400935382
training,0.0,sst,480,0.06520004304500474,0.04412841178902793,0.08907407557906621
training,0.0,sst,490,0.06836904726957028,0.04599580973172359,0.09359214611334922
training,0.0,sst,500,0.07159889121063472,0.04751682810896438,0.09847975615366214
training,0.0,sst,510,0.07483634480802485,0.049052006139985484,0.10313430133758754
training,0.0,sst,520,0.07808809296490835,0.05052157653995376,0.1092775376582013
training,0.0,sst,530,0.08139449636381865,0.052313035397101866,0.11721637169212466
training,0.0,sst,540,0.08468334452868156,0.05433628609430494,0.12481290997968983
training,0.0,sst,550,0.08798732982553271,0.05642808336141932,0.13149577041833158
training,0.0,sst,560,0.09121207462567073,0.05855185027369281,0.1376037046659292
training,0.0,sst,570,0.09436676213994263,0.06017323960101858,0.14366697181281177
training,0.0,sst,580,0.09753668041568087,0.06225345506449032,0.14952252593273527
training,0.0,sst,590,0.10054310660540526,0.06451127439425133,0.1537125832973882
training,0.0,sst,600,0.10354029781335272,0.06697558134013935,0.1571759472510314
training,0.0,sst,610,0.1066278030139755,0.06935358790407833,0.1609606336861817
training,0.0,sst,620,0.10969294331687754,0.07174788354357838,0.16426004507401887
training,0.0,sst,630,0.11262016278080797,0.07422457836727897,0.16686424323996174
training,0.0,sst,640,0.11559094218487051,0.07617517762425015,0.17110333593580618
training,0.0,sst,650,0.11876068711712187,0.0784682912369917,0.17728433633391652
training,0.0,sst,660,0.12191738471377474,0.08141656212229205,0.1814632642140653
training,0.0,sst,670,0.124983536269243,0.08418860302467386,0.18339842209114657
training,0.0,sst,680,0.12792752269314014,0.08645376044648512,0.18481947338491383
training,0.0,sst,690,0.13064990965826637,0.08866970233854789,0.18670244539890898
training,0.0,sst,700,0.1332085267498825,0.0909449508752837,0.18904330536217873
training,0.0,sst,710,0.13575356022764745,0.09303423209069984,0.19166338523453402
training,0.0,sst,720,0.13823178962503682,0.0956175025657433,0.19322404271152113
training,0.0,sst,730,0.14061778596740607,0.09873587873240547,0.19358018162852458
training,0.0,sst,740,0.14301568944499768,0.10214078122866597,0.1938755625084066
training,0.0,sst,750,0.1454629640746846,0.1054491585378162,0.1948282532497492
training,0.0,sst,760,0.1481299698127369,0.10901288138600602,0.19584862237831102
training,0.0,sst,770,0.1507717872107585,0.11279318289384865,0.19666048750211318
training,0.0,sst,780,0.15343000215570785,0.11684403382039281,0.1973986933824125
training,0.0,sst,790,0.15604087233897873,0.11973613171119957,0.19775530619246756
training,0.0,sst,800,0.15885307403950016,0.12300069134350204,0.19943039184864775
training,0.0,sst,810,0.16197135012144248,0.12685048544555766,0.2047845639427165
training,0.0,sst,820,0.1652120765714143,0.130846501000699,0.2092707623135645
training,0.0,sst,830,0.16842896246682573,0.13462303046101734,0.21345394456560826
training,0.0,sst,840,0.17218713443999464,0.1384262904136671,0.21784374755858724
training,0.0,sst,850,0.17647438933589696,0.14296130871877702,0.22198801209463467
training,0.0,sst,860,0.18090586262116215,0.14753890808790454,0.22564526795112122
training,0.0,sst,870,0.1852882468130836,0.15146044329528008,0.22924023266353888
training,0.0,sst,880,0.1899670866784394,0.1550375477185076,0.23350251582202433
training,0.0,sst,890,0.19529748760983062,0.15917670468069384,0.23768559586206925
training,0.0,sst,900,0.20106381723886924,0.16336231787824096,0.24472043638425411
training,0.0,sst,910,0.2071289712238224,0.1674303296356915,0.25306790562985354
training,0.0,sst,920,0.21322981601951022,0.1714766907531238,0.262080725551398
training,0.0,sst,930,0.2196330790685035,0.1760780825176974,0.2724293550307283
training,0.0,sst,940,0.22668393350453084,0.1814392809233298,0.28406136862926656
training,0.0,sst,950,0.2338980528088553,0.18649953744563,0.2962842991378562
training,0.0,sst,960,0.24081082460946795,0.19093058076184102,0.30787975483040547
training,0.0,sst,970,0.24778394016162625,0.19535649852604997,0.31997549396804076
training,0.0,sst,980,0.2551143147725895,0.20091084962622138,0.3328210586243544
training,0.0,sst,990,0.26256239859824393,0.2065732406666359,0.34597899034475604
training,0.0,sst,1000,0.27000584724525306,0.21176680568326534,0.3567654971670064
training,0.25,surface_speed,0,1.213457367124317e-10,1.0134465186999056e-10,1.3964699126898203e-10
training,0.25,surface_speed,10,0.0010878588296063419,0.0009588384641325626,0.001232892017144772
training,0.25,surface_speed,20,0.00176319981104089,0.0016493250817244242,0.0018595542555276147
training,0.25,surface_speed,30,0.0022277913063185983,0.002055267699747682,0.0024644148374223652
training,0.25,surface_speed,40,0.0026647155124670256,0.0023214273040591204,0.0029634531378047355
training,0.25,surface_speed,50,0.002971146380989238,0.0026993054005556376,0.0032598477958270975
training,0.25,surface_speed,60,0.0031588893507125022,0.002925152969024979,0.003427106800389665
training,0.25,surface_speed,70,0.0033886747599706285,0.0030739790338936996,0.0037084510061220466
training,0.25,surface_speed,80,0.0036200479068465574,0.003207541604365365,0.004153542862373864
training,0.25,surface_speed,90,0.0037697696174815,0.003366734899254022,0.004069613140542625
training,0.25,surface_speed,100,0.003956324407316219,0.003474036514351897,0.004274523670306318
training,0.25,surface_speed,110,0.004181351577183333,0.0035332733879622543,0.004663134428983996
training,0.25,surface_speed,120,0.004310895846613503,0.003536629621483601,0.004898555868350329
training,0.25,surface_speed,130,0.004431669738506715,0.0037755001732308114,0.005062267259581549
training,0.25,surface_speed,140,0.004634099668419904,0.0038502761954105806,0.005601691255505942
training,0.25,surface_speed,150,0.004768377271971462,0.0038036701534738507,0.006255340067968438
training,0.25,surface_speed,160,0.0048948749611147195,0.004158184443095088,0.006816235880304722
training,0.25,surface_speed,170,0.005009066820817267,0.004208151779629078,0.006829357267458102
training,0.25,surface_speed,180,0.005200371317489657,0.00429159270191674,0.006882230041176424
training,0.25,surface_speed,190,0.005295747965218117,0.004512770433398153,0.007067509924180418
training,0.25,surface_speed,200,0.005312787877311721,0.004459712675584018,0.006942675075413374
training,0.25,surface_speed,210,0.00536601125246676,0.004578493961155878,0.006737417657968559
training,0.25,surface_speed,220,0.005448786145220071,0.004786862184730104,0.006670718754385728
training,0.25,surface_speed,230,0.005473349500680803,0.00475106123496273,0.006610527513029216
training,0.25,surface_speed,240,0.0054907275171052344,0.004975639904006499,0.006315624209664094
training,0.25,surface_speed,250,0.005603301868584362,0.004945596489424913,0.006250038013155717
training,0.25,surface_speed,260,0.005690422730074638,0.0051318895700710136,0.006429367281967933
training,0.25,surface_speed,270,0.005798049220860602,0.005330815831475006,0.006750754671960483
training,0.25,surface_speed,280,0.005934660053381438,0.005301276887059063,0.006784560698390631
training,0.25,surface_speed,290,0.005999507519541485,0.00532609193864853,0.006842466619843968
training,0.25,surface_speed,300,0.006044073502747615,0.005462552713992031,0.006852978724502543
training,0.25,surface_speed,310,0.006156082513676968,0.005559442966852313,0.00693868929595465
training,0.25,surface_speed,320,0.006260348205359959,0.005723311754212128,0.007023535821772726
training,0.25,surface_speed,330,0.006296184751723025,0.00574436010882506,0.0069486652380226525
