scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
fixed_S2_validation_figure,phihyd_surface,model,20,0.004772387569149336,0.28411957755921774,0.06753520696556219
fixed_S2_validation_figure,phihyd_surface,model,30,0.0061050349536041415,0.28333060861462117,0.08587193140923045
fixed_S2_validation_figure,phihyd_surface,model,40,0.007376204555233319,0.2889200431738174,0.10417589223836823
fixed_S2_validation_figure,phihyd_surface,model,50,0.008538021023074787,0.3351496551575049,0.12058127477982876
fixed_S2_validation_figure,phihyd_surface,model,60,0.009683084984620413,0.32460220957369484,0.13538607291436208
fixed_S2_validation_figure,phihyd_surface,model,70,0.010824369514981906,0.34067115346142623,0.15126871810612694
fixed_S2_validation_figure,phihyd_surface,model,80,0.011846196030577023,0.39621319825255497,0.16627638434140596
fixed_S2_validation_figure,phihyd_surface,model,90,0.012814653478562832,0.4062275466634184,0.17905775387873832
fixed_S2_validation_figure,phihyd_surface,model,100,0.01384944822639227,0.4359048925585913,0.1927310783839479
fixed_S2_validation_figure,phihyd_surface,model,110,0.01481604240834713,0.519523519021689,0.20613863973569646
fixed_S2_validation_figure,phihyd_surface,model,120,0.015718861607213815,0.6690070852496875,0.21835864857439918
fixed_S2_validation_figure,phihyd_surface,model,130,0.016629232466220854,0.9224548591036991,0.2316154329497701
fixed_S2_validation_figure,phihyd_surface,model,140,0.0174948301166296,1.2138460350681939,0.24409425134752996
fixed_S2_validation_figure,phihyd_surface,model,150,0.01834374057749907,4.17658844714366,0.25488838285511045
fixed_S2_validation_figure,phihyd_surface,model,160,0.019180930654207864,1.8804596067454962,0.2667363323400474
fixed_S2_validation_figure,phihyd_surface,model,170,0.019950509568055472,1.217054990405022,0.27802437106540584
fixed_S2_validation_figure,phihyd_surface,model,180,0.020729983349641164,1.0504087863821816,0.2871363520492022
fixed_S2_validation_figure,phihyd_surface,model,190,0.021528508886694907,0.8546935779196345,0.298525831741039
fixed_S2_validation_figure,phihyd_surface,model,200,0.022319338470697402,0.8817400351593113,0.3105383475792643
fixed_S2_validation_figure,phihyd_surface,climatology,0,0.07083700944979986,nan,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,10,0.07063298970460892,5.487370738924481,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,20,0.07066518018643062,4.206984628093271,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,30,0.07109465052684148,3.2994554095258852,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,40,0.07080529282490412,2.7733867881134158,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,50,0.07080718825260798,2.7794502568451023,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,60,0.07152201682329178,2.3976041448445047,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,70,0.07155722379684448,2.2520925524232878,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,80,0.07124400784571966,2.3828591162953883,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,90,0.07156715194384257,2.268695646313782,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,100,0.07185892562071482,2.261726008143878,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,110,0.07187416404485703,2.520262672188986,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,120,0.07198643932739894,3.063799348537108,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,130,0.07179673761129379,3.982700320767268,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,140,0.0716724380850792,4.972857936502473,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,150,0.07196773886680603,16.385950588881144,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,160,0.07190970381100972,7.049881769942769,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,170,0.07175813217957815,4.377511891282031,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,180,0.07219560742378235,3.658222927489826,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,190,0.07211606701215108,2.863047304599932,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,200,0.07187305092811584,2.839391791811634,1.0
fixed_S2_validation_figure,phihyd_surface,persistence,0,0.0,nan,0.0
fixed_S2_validation_figure,phihyd_surface,persistence,10,0.012871918641030789,1.0,0.18223663892554834
fixed_S2_validation_figure,phihyd_surface,persistence,20,0.01679710919658343,1.0,0.2376999415025743
fixed_S2_validation_figure,phihyd_surface,persistence,30,0.021547389402985572,1.0,0.30308031959240656
fixed_S2_validation_figure,phihyd_surface,persistence,40,0.025530262539784115,1.0,0.3605699732492941
